,0,1,2,3
903,gabizinha,@gabturquetti,2009-06-20T14:41:45.000Z,"Em resposta a 
@xsamadhi@italloRafael
 i think it was Doug, he said that he has a new bass and it name is DREW ._. , or something like :s"
904,gabizinha,@gabturquetti,2009-06-20T14:40:46.000Z,"@luanafletcher
 ATORON TIRAR TEU BARATO :B brinks pode twittar o quanto tu quiser ok ? :B"
905,gabizinha,@gabturquetti,2009-06-20T14:36:31.000Z,"@luanafletcher
  eu sei  xD tipo mas ACALMA, RESPIRE 1 2 3 INSPIRE !"
906,gabizinha,@gabturquetti,2009-06-20T14:36:08.000Z,"Em resposta a 
@xsamadhi@italloRafael
 yes , REALLYY EARLY G_G"
907,gabizinha,@gabturquetti,2009-06-20T14:35:20.000Z,"Em resposta a 
@iamericjones@EricjTDF
  HEY! how are you? i'm feeling a little addicted of your songs! and sorry about my bad english :s xX"
908,gabizinha,@gabturquetti,2009-06-20T14:31:34.000Z,"@luanafletcher
  VOCE ESTÁ AJUDANDO O TWITTER A CHEGAR AO FIM! -n ABAIXA O FOGO MENINE! PSEOIJSEPOISJE"
909,gabizinha,@gabturquetti,2009-06-20T14:28:21.000Z,"@luanafletcher
 mano deu alok em ti tava postando que nem uma louca rs"
910,gabizinha,@gabturquetti,2009-06-20T14:27:35.000Z,"good morning, i'll check tweets of tom and everybody :D"
911,gabizinha,@gabturquetti,2009-06-19T23:15:19.000Z,"Em resposta a 
@amar_ias@mariajones_
 JUST FOR YOU DARLING *bitchface*"
912,gabizinha,@gabturquetti,2009-06-19T23:12:23.000Z,"ok, i'm back to tweet for YOU!"
913,gabizinha,@gabturquetti,2009-06-19T23:04:43.000Z,"@ohanabanana
 MENINE, DIZ AE, QUANDO VAI SER O SHOW DE TALENTOS ?"
914,gabizinha,@gabturquetti,2009-06-18T15:04:01.000Z,"RIIIIIIIIGHT, I HAVE TO SHOOOOOOOWER! i'll back after"
915,gabizinha,@gabturquetti,2009-06-18T15:03:28.000Z,"Em resposta a 
@TomFletcher@tommcfly
 my converse its like this, the old coverse is the best ! dont change this one fletcher! D:"
916,gabizinha,@gabturquetti,2009-06-18T13:44:36.000Z,fazer pestana no violão é um desastre
917,gabizinha,@gabturquetti,2009-06-18T13:34:57.000Z,"PLAYING TCHUBARUBA YES, I'M TRYING TO PLAY THIS ONE"
918,gabizinha,@gabturquetti,2009-06-18T13:29:19.000Z,PLAY GUITAAAAAAAAR
919,gabizinha,@gabturquetti,2009-06-18T13:15:41.000Z,more one day to finish and tomorrow i read just 1
920,gabizinha,@gabturquetti,2009-06-18T13:03:01.000Z,mondaay
921,gabizinha,@gabturquetti,2009-06-18T12:59:17.000Z,hmmm sunday now
922,gabizinha,@gabturquetti,2009-06-18T12:57:10.000Z,let's start with saturday
923,gabizinha,@gabturquetti,2009-06-18T12:56:58.000Z,vamos começar por sábado hmmm
924,gabizinha,@gabturquetti,2009-06-18T12:54:09.000Z,"se mamãe não faz a minha lição comigo, eu faço sozinha HM"
925,gabizinha,@gabturquetti,2009-06-18T12:52:45.000Z,"morning! woke up early for english class, ate my breakfast, wash the dishes and i'm here now"
926,gabizinha,@gabturquetti,2009-06-18T12:49:54.000Z,"Em resposta a 
@TomFletcher@tommcfly
 my dream is wear a green jeans D:"
927,gabizinha,@gabturquetti,2009-06-20T14:35:20.000Z,"Em resposta a 
@iamericjones@EricjTDF
  HEY! how are you? i'm feeling a little addicted of your songs! and sorry about my bad english :s xX"
928,gabizinha,@gabturquetti,2009-06-20T14:31:34.000Z,"@luanafletcher
  VOCE ESTÁ AJUDANDO O TWITTER A CHEGAR AO FIM! -n ABAIXA O FOGO MENINE! PSEOIJSEPOISJE"
929,gabizinha,@gabturquetti,2009-06-20T14:28:21.000Z,"@luanafletcher
 mano deu alok em ti tava postando que nem uma louca rs"
930,gabizinha,@gabturquetti,2009-06-20T14:27:35.000Z,"good morning, i'll check tweets of tom and everybody :D"
931,gabizinha,@gabturquetti,2009-06-19T23:15:19.000Z,"Em resposta a 
@amar_ias@mariajones_
 JUST FOR YOU DARLING *bitchface*"
932,gabizinha,@gabturquetti,2009-06-19T23:12:23.000Z,"ok, i'm back to tweet for YOU!"
933,gabizinha,@gabturquetti,2009-06-19T23:04:43.000Z,"@ohanabanana
 MENINE, DIZ AE, QUANDO VAI SER O SHOW DE TALENTOS ?"
934,gabizinha,@gabturquetti,2009-06-18T15:04:01.000Z,"RIIIIIIIIGHT, I HAVE TO SHOOOOOOOWER! i'll back after"
935,gabizinha,@gabturquetti,2009-06-18T15:03:28.000Z,"Em resposta a 
@TomFletcher@tommcfly
 my converse its like this, the old coverse is the best ! dont change this one fletcher! D:"
936,gabizinha,@gabturquetti,2009-06-18T13:44:36.000Z,fazer pestana no violão é um desastre
937,gabizinha,@gabturquetti,2009-06-18T13:34:57.000Z,"PLAYING TCHUBARUBA YES, I'M TRYING TO PLAY THIS ONE"
938,gabizinha,@gabturquetti,2009-06-18T13:29:19.000Z,PLAY GUITAAAAAAAAR
939,gabizinha,@gabturquetti,2009-06-18T13:15:41.000Z,more one day to finish and tomorrow i read just 1
940,gabizinha,@gabturquetti,2009-06-18T13:03:01.000Z,mondaay
