,endTime,artistName,trackName,minutedPlayed
95,2020-07-18 16:42:00,Chico César,Mama África / Brilho de Beleza / Pra Não Dizer Que Não Falei das Flores - Ao Vivo | Bônus Track,9.508583333333334
96,2020-07-18 16:44:00,Djavan,Sina,1.7401666666666666
97,2020-07-18 16:51:00,Novos Baianos,Preta Pretinha,6.624666666666666
98,2020-07-18 17:05:00,Zé Ramalho,Chão de Giz,3.73565
99,2020-07-18 23:41:00,Elis Regina,Como Nossos Pais,3.73725
100,2020-07-20 16:02:00,Podcatch BR,"Podcatch#18.1 - Mulheres 2, Uma Resposta",28.44975
101,2020-07-20 19:26:00,Podcatch BR,Podcatch#17 - Drones e Tecnologias no Ultimate,0.40255
102,2020-07-22 20:28:00,Tiago Iorc,Tangerina - Ao Vivo,4.6839
103,2020-07-22 20:31:00,Rodrigo Alarcon,Frágil Coração,3.6056
104,2020-07-22 20:35:00,Jorge Vercillo,Linda Flor,4.020833333333333
105,2020-07-22 20:39:00,Fernanda Takai,O Amor Em Tempos de Cólera,3.8097666666666665
106,2020-07-22 20:44:00,Tiago Iorc,Você Pra Sempre Em Mim,4.685333333333333
107,2020-07-22 20:48:00,Tim Bernardes,Só Nós Dois,3.800133333333333
108,2020-07-22 20:54:00,Milton Nascimento,Não Existe Amor em SP,5.797283333333334
109,2020-07-22 20:58:00,Rubel,Você Me Pergunta,3.9156333333333335
110,2020-07-22 21:01:00,Ana Gabriela,Amor Traduz,3.14205
111,2020-07-22 21:03:00,Illy,Me Deixas Louca,2.7980833333333335
112,2020-07-22 21:07:00,Fióti,Quando for falar de amor,3.55355
113,2020-07-22 21:11:00,Dani Black,Ser Amado - Ao Vivo,4.073933333333334
114,2020-07-22 21:14:00,Diogo Nogueira,Coisa Boa,3.0321166666666666
115,2020-07-22 21:17:00,Teresa Cristina,Gema (342 Amazônia ao Vivo no Circo Voador),2.4303833333333333
116,2020-07-22 21:22:00,Seu Jorge,Saravá,5.539383333333333
