,index,Unnamed: 0,name,handle,time,tweet
3091,6040,6040,gabizinha,@gabturquetti,2011-09-19 07:11:22-03:00,"My Top 3 #lastfm Artists: The xx (121), John Mayer (53) & Radiohead (45) http://bit.ly/dp5r3U"
3099,6059,6059,gabizinha,@gabturquetti,2011-09-11 07:50:37-03:00,"My Top 3 #lastfm Artists: Radiohead (85), The Smiths (46) & The xx (45) http://bit.ly/dp5r3U"
3112,6083,6083,gabizinha,@gabturquetti,2011-09-04 18:01:22-03:00,"My Top 3 #lastfm Artists: The xx (165), Adam Green (44) & The Smiths (40) http://bit.ly/dp5r3U"
3119,6097,6097,gabizinha,@gabturquetti,2011-08-29 06:22:23-03:00,"My Top 3 #lastfm Artists: Radiohead (113), The Smiths (43) & Ida Maria (30) http://bit.ly/dp5r3U"
3148,6142,6142,gabizinha,@gabturquetti,2011-08-21 15:28:06-03:00,"My Top 3 #lastfm Artists: Arctic Monkeys (70), The Smiths (62) & John Mayer (46) http://bit.ly/dp5r3U"
3162,6171,6171,gabizinha,@gabturquetti,2011-08-15 01:45:02-03:00,"My Top 3 #lastfm Artists: David Bowie (48), Elliott Smith (35) & The Killers (21) http://bit.ly/dp5r3U"
3186,6227,6227,gabizinha,@gabturquetti,2011-08-08 04:12:13-03:00,"My Top 3 #lastfm Artists: The Strokes (36), The Smiths (29) & Los Hermanos (19) http://bit.ly/dp5r3U"
3223,6290,6290,gabizinha,@gabturquetti,2011-08-01 09:52:58-03:00,"My Top 3 #lastfm Artists: Vespas Mandarinas (87), Adam Green (47) & Blur (46) http://bit.ly/dp5r3U"
3244,6341,6341,gabizinha,@gabturquetti,2011-07-24 21:03:04-03:00,"My Top 3 #lastfm Artists: Placebo (72), Arctic Monkeys (71) & John Mayer (61) http://bit.ly/dp5r3U"
3251,6348,6348,gabizinha,@gabturquetti,2011-07-17 17:02:01-03:00,"My Top 3 #lastfm Artists: John Mayer (76), Blur (68) & Los Hermanos (27) http://bit.ly/dp5r3U"
3260,6368,6368,gabizinha,@gabturquetti,2011-07-11 01:50:31-03:00,"My Top 3 #lastfm Artists: The Beatles (85), The Kooks (65) & The Killers (57) http://bit.ly/dp5r3U"
3279,6407,6407,gabizinha,@gabturquetti,2011-07-03 17:10:55-03:00,"My Top 3 #lastfm Artists: Radiohead (70), Móveis Coloniais de Acaju (64) & Arctic Monkeys (44) http://bit.ly/dp5r3U"
3295,6437,6437,gabizinha,@gabturquetti,2011-06-26 10:25:46-03:00,"My Top 3 #lastfm Artists: Arctic Monkeys (38), Interpol (33) & Radiohead (24) http://bit.ly/dp5r3U"
3300,6442,6442,gabizinha,@gabturquetti,2011-06-19 10:13:28-03:00,"My Top 3 #lastfm Artists: Adam Green (55), John Mayer (49) & Móveis Coloniais de Acaju (19) http://bit.ly/dp5r3U"
3308,6462,6462,gabizinha,@gabturquetti,2011-06-12 14:37:50-03:00,"My Top 3 #lastfm Artists: Arctic Monkeys (76), Interpol (68) & Radiohead (40) http://bit.ly/dp5r3U"
3316,6480,6480,gabizinha,@gabturquetti,2011-06-05 13:10:26-03:00,"My Top 3 #lastfm Artists: Arctic Monkeys (100), Adam Green (33) & Elvis Presley (31) http://bit.ly/dp5r3U"
3318,6486,6486,gabizinha,@gabturquetti,2011-05-29 19:54:37-03:00,"My Top 3 #lastfm Artists: John Mayer (26), Arctic Monkeys (20) & Elvis Presley (11) http://bit.ly/dp5r3U"
3331,6506,6506,gabizinha,@gabturquetti,2011-05-22 16:34:38-03:00,"My Top 3 #lastfm Artists: Belle and Sebastian (48), The Beatles (42) & Radiohead (29) http://bit.ly/dp5r3U"
3351,6545,6545,gabizinha,@gabturquetti,2011-05-15 18:41:54-03:00,"My Top 3 #lastfm Artists: Radiohead (75), Adam Green (67) & John Mayer (20) http://bit.ly/dp5r3U"
3365,6572,6572,gabizinha,@gabturquetti,2011-05-08 23:33:02-03:00,"My Top 3 #lastfm Artists: David Bowie (117), Radiohead (95) & Placebo (68) http://bit.ly/dp5r3U"
3374,6593,6593,gabizinha,@gabturquetti,2011-05-01 18:10:04-03:00,"My Top 3 #lastfm Artists: Radiohead (106), John Mayer (54) & David Bowie (36) http://bit.ly/dp5r3U"
3396,6637,6637,gabizinha,@gabturquetti,2011-04-24 06:44:35-03:00,"My Top 3 #lastfm Artists: Radiohead (103), Los Hermanos (32) & Oasis (23) http://bit.ly/dp5r3U"
3408,6649,6649,gabizinha,@gabturquetti,2011-04-17 11:55:00-03:00,"My Top 3 #lastfm Artists: Radiohead (52), Belle and Sebastian (37) & Elvis Presley (22) http://bit.ly/dp5r3U"
3437,6709,6709,gabizinha,@gabturquetti,2011-04-03 20:33:15-03:00,"My Top 3 #lastfm Artists: Radiohead (147), The Beatles (44) & The Libertines (36) http://bit.ly/dp5r3U"
